Row,Title,Rating,Genre,Actors,Runtime
1,Koombiyo,9.9,"Crime, Drama, Thriller","Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika",20
2,The Filthy Frank Show,9.9,"Short, Comedy, Fantasy","George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy",12
3,Game of Thrones,9.5,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",57
4,Breaking Bad,9.5,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",49
5,Rick and Morty,9.4,"Animation, Adventure, Comedy","Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland",22
6,The Wire,9.3,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",59
7,TVF Pitchers,9.3,"Comedy, Drama","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan",40
8,Sherlock,9.2,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",88
9,The Sopranos,9.2,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",55
10,Avatar: The Last Airbender,9.2,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",23
11,Content Cop,9.2,"Documentary, Comedy, Crime","Ian Carter, Calvin Vail, Roman Atwood, Anthony Brady",20
12,Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama","Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant",80
13,Firefly,9.1,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",44
14,Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure","Kent Williams, Iemasa Kayumi, Muriel Hofmann, Lili Troncale",24
15,Sarabhai vs Sarabhai,9.1,Comedy,"Satish Shah, Ratna Pathak Shah, Sumeet Raghvan, Rupali Ganguly",30
16,Westworld,9,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton",60
17,House of Cards,9,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",51
18,Fargo,9,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",53
19,True Detective,9,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",55
20,Last Week Tonight with John Oliver,9,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla",30
21,The Twilight Zone,9,"Fantasy, Horror, Mystery","Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor",51
22,Death Note: Desu nôto,9,"Animation, Crime, Drama","Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",24
23,One Punch Man: Wanpanman,9,"Animation, Action, Comedy","Makoto Furukawa, Max Mittelman, Kaito Ishikawa, Zach Aguilar",24
24,Batman: The Animated Series,9,"Animation, Action, Adventure","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings",23
25,Stranger Things,8.9,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",55
26,Friends,8.9,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",22
27,Narcos,8.9,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",49
28,Black Mirror,8.9,"Drama, Sci-Fi, Thriller","Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones, Daniel Westwood",60
29,Seinfeld,8.9,Comedy,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",22
30,Twin Peaks,8.9,"Crime, Drama, Mystery","Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",47
31,Arrested Development,8.9,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",489
32,Only Fools and Horses....,8.9,Comedy,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",95
33,Gravity Falls,8.9,"Animation, Adventure, Comedy","Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini",23
34,Skam,8.9,"Drama, Romance","Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch, Lisa Teige",30
35,Kaubôi bibappu,8.9,"Animation, Action, Adventure","Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",24
36,Monty Python's Flying Circus,8.9,Comedy,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",30
37,Pod prikritie,8.9,"Action, Crime, Drama","See full summary, Vladimir Penev, Ivaylo Zahariev, Zachary Baharov",60
38,Mindhunter,8.8,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Hannah Gross, Sonny Valicenti",60
39,This Is Us,8.8,"Comedy, Drama","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",45
40,Peaky Blinders,8.8,"Crime, Drama","Cillian Murphy, Paul Anderson, Joe Cole, Helen McCrory",60
41,The Office,8.8,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",22
42,South Park,8.8,"Animation, Comedy","Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall",22
43,It's Always Sunny in Philadelphia,8.8,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",22
44,The Simpsons,8.8,"Animation, Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith",22
45,House M.D.,8.8,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",44
46,The Grand Tour,8.8,"Comedy, Talk-Show","Jeremy Clarkson, Richard Hammond, James May, Mike Skinner",60
47,The West Wing,8.8,Drama,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer",44
48,Freaks and Geeks,8.8,"Comedy, Drama","Linda Cardellini, John Francis Daley, James Franco, Samm Levine",44
49,Shingeki no kyojin,8.8,"Animation, Action, Adventure","Yuki Kaji, Marina Inoue, Josh Grelle, Bryce Papenbrook",24
50,Rome,8.8,"Action, Drama, History","Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon",90
